timestamp,scan,angle,raw_distance
2026-09-11 16:40:13,1,0,275.67
2026-09-11 16:40:13,1,5,162.3
2026-09-11 16:40:13,1,10,201.28
2026-09-11 16:40:13,1,15,212.82
2026-09-11 16:40:13,1,20,173.27
2026-09-11 16:40:13,1,25,56.09
2026-09-11 16:40:13,1,30,55.04
2026-09-11 16:40:13,1,35,45.53
2026-09-11 16:40:13,1,40,150.34
2026-09-11 16:40:13,1,45,154.99
2026-09-11 16:40:13,1,50,159.45
2026-09-11 16:40:13,1,55,176.77
2026-09-11 16:40:13,1,60,195.87
2026-09-11 16:40:13,1,65,195.25
2026-09-11 16:40:13,1,70,87.38
2026-09-11 16:40:13,1,75,94.32
2026-09-11 16:40:13,1,80,101.21
2026-09-11 16:40:13,1,85,206.05
2026-09-11 16:40:13,1,90,289.79
2026-09-11 16:40:13,1,95,275.63
2026-09-11 16:40:13,1,100,190.43
2026-09-11 16:40:13,1,105,259.46
2026-09-11 16:40:13,1,110,269.8
2026-09-11 16:40:13,1,115,46.95
2026-09-11 16:40:13,1,120,45.5
2026-09-11 16:40:13,1,125,40.04
2026-09-11 16:40:13,1,130,284.81
2026-09-11 16:40:13,1,135,232.74
2026-09-11 16:40:13,1,140,225.05
2026-09-11 16:40:13,1,145,196.07
2026-09-11 16:40:13,1,150,68.93
2026-09-11 16:40:13,1,155,72.73
2026-09-11 16:40:13,1,160,73.37
2026-09-11 16:40:13,1,165,269.31
2026-09-11 16:40:13,1,170,191.05
2026-09-11 16:40:13,1,175,254.42
2026-09-11 16:40:13,1,180,173.76
2026-09-11 16:40:13,2,0,235.71
2026-09-11 16:40:13,2,5,269.97
2026-09-11 16:40:13,2,10,154.45
2026-09-11 16:40:13,2,15,214.42
2026-09-11 16:40:13,2,20,169.88
2026-09-11 16:40:13,2,25,52.96
2026-09-11 16:40:13,2,30,47.4
2026-09-11 16:40:13,2,35,57.51
2026-09-11 16:40:13,2,40,164.62
2026-09-11 16:40:13,2,45,201.66
2026-09-11 16:40:13,2,50,152.65
2026-09-11 16:40:13,2,55,174.85
2026-09-11 16:40:13,2,60,241.25
2026-09-11 16:40:13,2,65,255.3
2026-09-11 16:40:13,2,70,87.27
2026-09-11 16:40:13,2,75,87.91
2026-09-11 16:40:13,2,80,82.62
2026-09-11 16:40:13,2,85,299.43
2026-09-11 16:40:13,2,90,248.47
2026-09-11 16:40:13,2,95,193.17
2026-09-11 16:40:13,2,100,286.24
2026-09-11 16:40:13,2,105,151.89
2026-09-11 16:40:13,2,110,155.54
2026-09-11 16:40:13,2,115,50.43
2026-09-11 16:40:13,2,120,40.93
2026-09-11 16:40:13,2,125,49.56
2026-09-11 16:40:13,2,130,242.74
2026-09-11 16:40:13,2,135,216.57
2026-09-11 16:40:13,2,140,161.67
2026-09-11 16:40:13,2,145,293.32
2026-09-11 16:40:13,2,150,71.3
2026-09-11 16:40:13,2,155,70.55
2026-09-11 16:40:13,2,160,72.06
2026-09-11 16:40:13,2,165,169.78
2026-09-11 16:40:13,2,170,158.13
2026-09-11 16:40:13,2,175,255.46
2026-09-11 16:40:13,2,180,231.89
2026-09-11 16:40:13,3,0,214.66
2026-09-11 16:40:13,3,5,163.87
2026-09-11 16:40:13,3,10,149.09
2026-09-11 16:40:13,3,15,226.48
2026-09-11 16:40:13,3,20,266.41
2026-09-11 16:40:13,3,25,52.27
2026-09-11 16:40:13,3,30,53.01
2026-09-11 16:40:13,3,35,48.04
2026-09-11 16:40:13,3,40,282.75
